;code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université;boîte postale;adresse;CP;commune;commune (COG);cedex;téléphone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);début portes ouvertes;fin portes ouvertes;commentaires portes ouvertes;lien site onisep.fr;;photo-batiment;photo-proviseur;photo-class;;;;;;;;
;0750686N;19750686800011;Lycée;Ecole Estienne;ESAIG;Public;Ministère chargé de l'Éducation nationale;;;18 boulevard Auguste Blanqui;75013;Paris;75113;;01 55 43 47 47;13;Paris;Paris;Ile-de-France;11;2,3525936901569;48,830650819316;02/02/2018;03/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/420;;https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/%C3%89cole_Estienne_Paris.JPG/220px-%C3%89cole_Estienne_Paris.JPG;https://i.ytimg.com/vi/sfCZ1wliq7k/maxresdefault.jpg;http://www.ecole-estienne.paris/wp-content/uploads/2018/05/the-shasha-project9-480x319.jpg;;;;;;;;
;0750710P;19750710600015;Lycée;Lycée technologique d'Arts appliqués Auguste Renoir;;Public;Ministère chargé de l'Éducation nationale;;;24 rue Ganneron;75018;Paris;75118;;01 40 08 45 60;18;Paris;Paris;Ile-de-France;11;2,32835;48,887062;02/02/2018;03/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/551;;https://www.fcpe75.org/wp-content/uploads/2015/12/Lycee_Renoir.png;https://www.psl.eu/sites/default/files/styles/temoign_small/public/2017-06/trombi_E.Husson_PSL_17.jpg?itok=PsxKUIrI;https://img.lemde.fr/2018/03/20/0/0/5568/3712/534/0/60/0/c6abcf9_6126-hlcpwy.pxatu.jpg;;;;;;;;
;0752937K;31977275200014;Lycée;Ecole internationale bilingue-Etoile;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;9 rue Villaret de Joyeuse;75017;Paris;75117;;01 45 63 30 73;17;Paris;Paris;Ile-de-France;11;2,305414;48,873128;;;;www.onisep.fr/http/redirection/etablissement/identifiant/888;;http://www.journaldunet.com/economie/les-dix/lycees-prives-paris-chers/eab-ok.jpg;http://photo.eibparis.info/media/s/907/9075/lyceepresentation10_550_550.jpg;http://photo.eibparis.info/media/s/891/8914/awardsceremonyofthearts&s_550_550.jpg;;;;;;;;
;0753842U;78428088500020;Lycée;Lycée privé Notre-Dame de Sion;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;61 rue Notre-Dame des Champs;75006;Paris;75106;;01 44 32 06 70;06;Paris;Paris;Ile-de-France;11;2,330881;48,843762;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1188;;http://www.sion-paris.fr/qui-sommes-nous/cour-lycee/image_preview;https://lepetitjournal.com/sites/default/files/styles/main_article/public/2018-03/IMG_2908.jpg?itok=PaICqqx0;https://img.20mn.fr/pl3YfNCzRd-OsNsjp46bJQ/830x532_761701-candidats-passent-baccalaureat-annee;;;;;;;;
;0750683K;19750683500010;Lycée;Lycée Claude Monet;;Public;Ministère chargé de l'Éducation nationale;;;1 rue du Docteur Magnan;75013;Paris;75113;;01 56 61 90 00;13;Paris;Paris;Ile-de-France;11;2,362321;48,827518;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1194;;https://www.fcpe75.org/wp-content/uploads/2015/12/Lyc%C3%A9e-Monet-3-e1471266768378.jpg;https://www.diplomatie.gouv.fr/local/cache-vignettes/L800xH533/815dba8f6b0f6e965541f0a027733f-0d6fc.jpg?1510919074;https://www.euractiv.fr/wp-content/uploads/sites/3/2015/04/cce3eaawiaargpf.jpeg;;;;;;;;
;0750663N;19750663700010;Lycée;Lycée Chaptal;;Public;Ministère chargé de l'Éducation nationale;;;45 boulevard des Batignolles;75008;Paris;75108;;01 45 22 76 95;08;Paris;Paris;Ile-de-France;11;2,320189;48,88192;10/03/2018;10/03/2018;en matinée. JPO réservée aux élèves de terminale candidats à une CPGE;www.onisep.fr/http/redirection/etablissement/identifiant/1770;;https://files1.structurae.de/files/photos/64/paris_8eme_arrondissement/dscf0018.jpg;https://media.licdn.com/dms/image/C4E03AQEpBguuojgyrQ/profile-displayphoto-shrink_200_200/0?e=1529881200&v=beta&t=MNbQk7uHROKthtqxbaVbZtromBbR6qX3B4hIThtmyp0;http://md1.libe.com/photo/161598-photo-prise-le-18-juin-2009-des-eleves-de-terminale-lors-de-l-epreuve-de-philosophie-du-baccalaureat.jpg?modified_at=1308071525&width=960;;;;;;;;
;0750689S;19750689200011;Lycée;Lycée Paul Bert;;Public;Ministère chargé de l'Éducation nationale;;;7 rue Huyghens;75014;Paris;75114;;01 43 20 32 64;14;Paris;Paris;Ile-de-France;11;2,328556;48,840783;24/03/2018;24/03/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/2104;;https://img.bfmtv.com/c/1000/600/9c4/6d9c54da697650b198c3393e36ec9.png;http://lvdneng.rosselcdn.net/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2018/01/15/node_297607/35961446/public/2018/01/15/B9714417277Z.1_20180115171908_000%2BG41AGF8EL.1-0.jpg?itok=ob3CRP7Y;https://www.u-paris2.fr/sites/default/files/styles/1172_465_article_top/public/photo_image/2011_cap_en_fac_lycee_bergson.jpg?itok=zF5ewKU7;;;;;;;;
;0750708M;19750708000012;Lycée;Lycée Jean Drouant;;Public;Ministère chargé de l'Éducation nationale;;;20 rue Médéric;75017;Paris;75117;;01 56 21 01 01;17;Paris;Paris;Ile-de-France;11;2,303639;48,880789;;;;www.onisep.fr/http/redirection/etablissement/identifiant/548;;http://s1.lprs1.fr/images/2016/04/03/5683327_6562da3c-f981-11e5-a4b1-f6e2213c45cf-1_1000x625.jpg;https://hospitality-on.com/sites/default/files/styles/image994x499/public/import/contenu/arton8893.jpg?itok=mXSWMFC6;https://www.lhotellerie-restauration.fr/journal/formation-ecole/2015-12/img/_aro0037.jpg;;;;;;;;
;0754684J;19754684900013;Lycée;Lycée Georges Brassens;;Public;Ministère chargé de l'Éducation nationale;;;40 rue Manin;75019;Paris;75119;;01 42 08 66 31;19;Paris;Paris;Ile-de-France;11;2,386265;48,884279;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1240;;https://www.challenges.fr/assets/img/2016/03/30/images_list-r4x3w1000-58d2546db94a7-lycee-george-brassens.jpg;http://www.lessonnien.fr/wp-content/uploads/IMG_0005.jpg;https://cdn.radiofrance.fr/s3/cruiser-production/2018/01/1be9eee7-03ee-4fd9-bf89-8829b971d198/870x489_dsc_0608.jpg;;;;;;;;
;0753887T;78444836700036;Lycée;Lycée privé Bossuet Notre-Dame;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;17 rue Yves Toudic;75010;Paris;75110;;01 42 08 01 47;10;Paris;Paris;Ile-de-France;11;2,363632;48,870102;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10;;http://www.bossuetnotredame.org/web/images/523_pic.jpg;http://image-uniservice.reseau.journaldunet.com/image/450/4771230518/1475573.jpg;http://www.bossuetnotredame.org/web/images/448.JPG;;;;;;;;
;0751708Z;19751708900011;Lycée;Lycée Louis Armand;;Public;Ministère chargé de l'Éducation nationale;;;16 bis avenue Marc Sangnier;75014;Paris;75114;;01 45 57 51 50;14;Paris;Paris;Ile-de-France;11;2,285231;48,837448;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1230;;http://s1.lprs1.fr/images/2017/09/14/7260804_d5793712-993a-11e7-96e9-5398a27535e0-1_1000x625.jpg;http://www.saerp.fr/wp-content/uploads/2017/09/Photo-Labb%C3%A9-Louis-Armand.jpg;https://pbs.twimg.com/media/DPVjpqyWAAEjXvK.jpg;;;;;;;;
;0750675B;19750675100019;Lycée;Lycée Voltaire;;Public;Ministère chargé de l'Éducation nationale;;;101 avenue de la République;75011;Paris;75111;;01 55 28 08 08;11;Paris;Paris;Ile-de-France;11;2,384124;48,863463;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1706;;http://image-parcours.copainsdavant.com/image/750/1263122089/4061379.jpg;http://lvdneng.rosselcdn.net/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2016/08/30/node_39484/898256/public/2016/08/30/B979568111Z.1_20160830161524_000%2BG6H7GQCEB.5-0.jpg?itok=LOE-ykbL;http://www.alteregoratio.org/wp-content/uploads/2018/01/goni-e1516360628171-1020x600.jpg;;;;;;;;
;0750651A;19750651200015;Lycée;Lycée Simone Weil;;Public;Ministère chargé de l'Éducation nationale;;;7 rue de Poitou;75003;Paris;75103;;01 48 87 37 74;03;Paris;Paris;Ile-de-France;11;2,364006;48,8614;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1714;;http://monlycee.net/app/webroot/img/111118_1.jpg;https://lh3.googleusercontent.com/Ck_S5cxvYPQ82qNu8NPTQUKwL-z6iLjSHHmUJQpS_3QXgFxWuWEb9OxVOJem2n2hTkF4_08I1WB2ZL0rV-gBHxIhXVymHzjjnLM9s54-e_M-95lfumNkwYtTehLnQSZnVaDtLUsfjw;http://www.lycee-simone-weil.fr/web/uploads/img/nouveaute/d5215fb7629c594c4bb14b1a4bd5494d.jpg;;;;;;;;
;0753935V;78441123300025;Lycée;Lycée privé Georges Leven;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;30 boulevard Carnot;75012;Paris;75112;;01 44 73 80 60;12;Paris;Paris;Ile-de-France;11;2,413;48,84376;;;;www.onisep.fr/http/redirection/etablissement/identifiant/2109;;http://www.geprif-social.fr/sites/default/files/geprif/fiche_realisation/photo/lycee_leven_paris_12_3_0.jpg;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxVCva9TPsMXYCYq7Ky5bsPzRnWnhAE4YmMq2cSC0NzFpoLR7H1Q;https://www.aiu.org/sites/default/files/IMG_0430.JPG;;;;;;;;
;0754239A;78475421000028;Lycée;Lycée polyvalent privé Saint Jean de Montmartre;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;31 rue Caulaincourt;75018;Paris;75118;;01 46 06 03 08;18;Paris;Paris;Ile-de-France;11;2,333761;48,887996;23/03/2018;23/03/2018;"de 14h à 17h ; autres portes ouvertes le 20 mai et le 26 mai 2018 de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/4;;https://www.justacote.com/photos_entreprises/groupe-scolaire-saint-jean-de-montmartre-paris-1465231973100.jpg;http://www.ancienshoche.org/wp-content/uploads/2015/02/gilbert-guislain-300x225.jpeg;https://www.lycee-stjeandemontmartre.com/wp-content/uploads/sites/56/2018/04/Capture-d%E2%80%99%C3%A9cran-2018-04-23-%C3%A0-15.43.57.png;;;;;;;;
;0750681H;19750681900014;Lycée;Lycée-ESAA-Ecole Boulle;;Public;Ministère chargé de l'Éducation nationale;;;9 rue Pierre Bourdan;75571;Paris;75112;Cedex 12;01 44 67 69 67;12;Paris;Paris;Ile-de-France;11;2,391141;48,847194;;;;www.onisep.fr/http/redirection/etablissement/identifiant/555;;http://belairsud.blogspirit.com/media/01/02/1738560643.JPG;https://www.superprof.fr/images/annonces/professeur-home-cours-tapisserie-maitre-artisan-metiers-art-diplome-ecole-boulle-donnes-boutique-atelier.jpg;http://4.bp.blogspot.com/-LYtaxPKmBjs/Vm8JtPSJNqI/AAAAAAAAXXU/08C50036Sjw/s1600/20151214_101201.jpg;;;;;;;;
