ACADÉMIE;SECTION BI- ET INTERNATIONALE;1ère SESSION A VENIR;Niveau;U.A.I.;ÉTABLISSEMENT;COMMUNE
Paris;BRITANNIQUE;;Collège;0752546K ;Collège Camille Sée ;Paris
Paris;ESABAC (italien);2019;Lycée;0750693W;Lycée Buffon;Paris
Paris;ALLEMANDE;;Collège;0752553T ;Collège international Honoré de Balzac ;Paris
Paris;AMÉRICAINE;;Collège;0752935H ;Ecole Jeannine Manuel ;Paris
Paris;ARABE;;Collège;0752553T ;Collège international Honoré de Balzac ;Paris
Paris;ARABE;2019 ;Collège;0752539C ;Collège Claude Monet ;Paris
Paris;BRITANNIQUE;;Collège;0752553T ;Collège international Honoré de Balzac ;Paris
Paris;BRITANNIQUE;;Collège;0752546K ;Collège Camille Sée ;Paris
Paris;BRITANNIQUE;2018 ;Collège;0752557X ;Collège Maurice Ravel ;Paris
Paris;CHINOISE;;Collège;0750684L ;Collège Gabriel Fauré ;Paris
Paris;CHINOISE;;Collège;0752548M ;Collège Janson de Sailly ;Paris
Paris;CHINOISE;2019 ;Collège;0752555V ;Collège Bergson ;Paris
Paris;ESPAGNOLE;;Collège;0752553T ;Collège international Honoré de Balzac ;Paris
Paris;ITALIENNE;;Collège;0752553T ;Collège international Honoré de Balzac ;Paris
Paris;JAPONAISE;;Collège;0752550P ;Collège Jean de La Fontaine ;Paris
Paris;POLONAISE;;Collège;0752527P ;Collège Montaigne ;Paris
Paris;PORTUGAISE;;Collège;0752553T ;Collège international Honoré de Balzac ;Paris
Paris;PORTUGAISE;;Collège;0752527P ;Collège Montaigne ;Paris
Paris;ESABAC (italien);;Lycée;0750648X;Lycée Victor Hugo;Paris
Paris;ESABAC (italien);;Lycée;0750683K;Lycée Claude Monet;Paris
Paris;ESABAC (italien);2019;Lycée;0750693W;Lycée Buffon;Paris
Paris;ABIBAC (allemand);;Lycée;0750699C;Lycée Janson de Sailly;Paris
Paris;ABIBAC (allemand);;Lycée;0750715V;Lycée Maurice Ravel;Paris
Paris;BACHIBAC (espagnol);;Lycée;0750715V;Lycée Maurice Ravel;Paris
Paris;BACHIBAC (espagnol);;Lycée;0750703G;Lycée Molière;Paris
Paris;ALLEMANDE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;Paris
Paris;AMÉRICAINE;;Lycée;0753874D ;Ecole Jeannine Manuel ;Paris
Paris;ARABE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;Paris
Paris;BRITANNIQUE;;Lycée;0752937K ;Ecole active bilingue Etoile ;Paris
Paris;BRITANNIQUE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;Paris
Paris;BRITANNIQUE;2017 ;Lycée;0750694X ;Lycée Camille Sée ;Paris
Paris;CHINOISE;;Lycée;0750683K ;Lycée Claude Monet ;Paris
Paris;CHINOISE;2017 ;Lycée;0750699C ;Lycée Janson de Sailly ;Paris
Paris;ESPAGNOLE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;Paris
Paris;ITALIENNE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;Paris
Paris;JAPONAISE;;Lycée;0750702F ;Lycée Jean de La Fontaine ;Paris
Paris;POLONAISE;;Lycée;0750657G ;Lycée Montaigne ;Paris
Paris;PORTUGAISE;;Lycée;0750705J ;Lycée international Honoré de Balzac ;Paris
Paris;PORTUGAISE;;Lycée;0750657G ;Lycée Montaigne ;Paris
