code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université;boîte postale;adresse;CP;commune;commune (COG);cedex;téléphone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);début portes ouvertes;fin portes ouvertes;commentaires portes ouvertes;lien site onisep.fr
0221750H;32021892800010;Collège;Collège Saint-Charles- La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;BP 2125;2 rue Cordière;22021;Saint-Brieuc;22278;Cedex;02 96 94 02 46;;Côtes-d'Armor;Rennes;Bretagne;53;-2,7674554;48,510032;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1566
0501704F;78086000300026;Collège;Collège Notre-Dame de la Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;4 place Croix des Perrières;50300;Avranches;50025;;02 33 58 43 41;;Manche;Caen;Normandie;28;-1,3559454;48,6859497;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1638
0880100F;78347431500034;Collège;Collège Notre-Dame de la Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;14 rue Pasteur;88109;Saint-Dié-des-Vosges;88413;Cedex;03 29 56 17 77;;Vosges;Nancy-Metz;Grand-Est;44;6,9504263;48,2826196;;;;www.onisep.fr/http/redirection/etablissement/identifiant/4533
0761731U;78102741200035;Collège;Collège privé la Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;29 rue de l'Inondation;76400;Fécamp;76259;;02 35 10 42 05;;Seine-Maritime;Rouen;Normandie;28;0,3809764;49,7567073;;;;www.onisep.fr/http/redirection/etablissement/identifiant/4807
0801212H;78060963200028;Collège;Collège La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;146 boulevard de Saint-Quentin;80094;Amiens;80021;Cedex 03;03 22 33 77 77;;Somme;Amiens;Hauts-de-France;32;2,2994172;49,8791473;;;;www.onisep.fr/http/redirection/etablissement/identifiant/5685
0801742J;78060963200010;Lycée;Lycée La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;146 boulevard de Saint-Quentin;80094;Amiens;80021;Cedex 03;03 22 33 77 77;;Somme;Amiens;Hauts-de-France;32;2,2994172;49,8791473;03/02/2018;03/02/2018;de 10h à 16h, le 26/05/2018 de 9h à 13h;www.onisep.fr/http/redirection/etablissement/identifiant/5502
0061852F;;Lycée;Lycée La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;12 avenue Pierre Isnard;6200;Nice;06088;;04 93 72 40 90;;Alpes-Maritimes;Nice;Provence-Alpes-Côte d'Azur;93;7,1992777;43,6812872;03/02/2018;03/02/2018;et 7 avril 2018 de 9h à 13h pour les collégiens et leurs parents pour orientation 2de Générale, BAC ST2S, Classe prépa Concours santé social. 3e Prépa, CAP, BAC PRO Accompagnement, soins et services à la personne;www.onisep.fr/http/redirection/etablissement/identifiant/9000
0753146M;32255780200020;Lycée;Prépasup;PREPASUP;Privé hors contrat;;;;38 rue des blancs manteaux;75004;Paris;75104;;01 42 77 27 26;04;Paris;Paris;Ile-de-France;11;2,358177;48,858184;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21641
0133148B;40929336200011;Lycée;International Bilingual School of Provence;IBS of Provence;Privé hors contrat;;;;500  route de Bouc-Bel-Air;13080;Aix-en-Provence;13001;;04 42 24 03 40;;Bouches-du-Rhône;Aix-Marseille;Provence-Alpes-Côte d'Azur;93;5,412763;43,4803835;;;;www.onisep.fr/http/redirection/etablissement/identifiant/12647
0783549J;19782554000010;Lycée;Lycée international;;Public;Ministère chargé de l'Éducation nationale;;BP 70107;2 bis rue du Fer à Cheval;78101;Saint-Germain-en-Laye;78551;Cedex;01 39 10 94 11;;Yvelines;Versailles;Ile-de-France;11;2,062848;48,897902;;;;www.onisep.fr/http/redirection/etablissement/identifiant/3921
0783547G;19783363500018;Collège;Collège international;;Public;Ministère chargé de l'Éducation nationale;;BP 5230;Rue du fer à cheval;78100;Saint-Germain-en-Laye;78551;;01 39 10 94 11;;Yvelines;Versailles;Ile-de-France;11;2,062848;48,897902;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21234
0130038W;19130038300012;Lycée;Lycée Marseilleveyre;;Public;Ministère chargé de l'Éducation nationale;;;83 Traverse Parangon;13285;Marseille;13208;Cedex 08;04 91 17 67 00;08;Bouches-du-Rhône;Aix-Marseille;Provence-Alpes-Côte d'Azur;93;5,3791456;43,2416532;;;;www.onisep.fr/http/redirection/etablissement/identifiant/16361
0801841S;19800044000018;Lycée;Lycée Robert de Luzarches;;Public;Ministère chargé de l'Éducation nationale;;BP 40043;4 rue Le Mongnier;80097;Amiens;80021;Cedex 03;03 22 47 77 77;;Somme;Amiens;Hauts-de-France;32;2,3213945;49,8865483;03/02/2018;03/02/2018;de 9h à 12h30;www.onisep.fr/http/redirection/etablissement/identifiant/20145
0750715V;19750715500012;Lycée;Lycée Maurice Ravel;;Public;Ministère chargé de l'Éducation nationale;;;89 cours de Vincennes;75020;Paris;75120;;01 44 64 87 40;20;Paris;Paris;Ile-de-France;11;2,408227;48,847617;10/02/2018;10/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/6513
0630019D;19630019800013;Lycée;Lycée Jeanne d'Arc;;Public;Ministère chargé de l'Éducation nationale;;;40 avenue de Grande-Bretagne;63037;Clermont-Ferrand;63113;Cedex 01;04 73 92 66 10;;Puy-de-Dôme;Clermont-Ferrand;Auvergne-Rhône-Alpes;84;3,0955134;45,7775182;24/03/2018;24/03/2018;de 8h30 à 12h, niveau seconde, accueil tout public;www.onisep.fr/http/redirection/etablissement/identifiant/17913
0631410R;19631410800016;Collège;Collège Jeanne d'Arc;;Public;Ministère chargé de l'Éducation nationale;;;40 avenue de Grande Bretagne;63037;Clermont-Ferrand;63113;Cedex;04 73 92 66 10;;Puy-de-Dôme;Clermont-Ferrand;Auvergne-Rhône-Alpes;84;3,0955134;45,7775182;;;;www.onisep.fr/http/redirection/etablissement/identifiant/12865
0783548H;19781577200011;Lycée;Lycée Franco-Allemand;;Public;Ministère chargé de l'Éducation nationale;;;7 Rue Collin Mamet;78530;Buc;78117;;01 39 07 14 20;;Yvelines;Versailles;Ile-de-France;11;2,120727;48,770214;20/01/2018;20/01/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/7158
