;code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université;boîte postale;adresse;CP;commune;commune (COG);cedex;téléphone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);début portes ouvertes;fin portes ouvertes;commentaires portes ouvertes;lien site onisep.fr;Photo school building;photo-batiment;photo-proviseur;photo-class;Rating
;0221750H;32021892800010;Collège;Collège Saint-Charles- La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;BP 2125;2 rue Cordière;22021;Saint-Brieuc;22278;Cedex;02 96 94 02 46;;Côtes-d'Armor;Rennes;Bretagne;53;-2,7674554;48,510032;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1566;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjTvoe55L7bAhXSLFAKHZp0DAIQjRx6BAgBEAU&url=http%3A%2F%2Fmapio.net%2Fs%2F33848378%2F&psig=AOvVaw0Jr4j_7JL7BCotXJqLk3z6&ust=1528355751534057;https://www.enseignement-prive.info/jouve/jpg_photos_fiche/GE022-19_2016_PF.jpg;http://www.orleans.catholique.fr/images/servicemvt/rentree2014.jpg;https://img.lemde.fr/2018/03/20/0/0/5568/3712/534/0/60/0/c6abcf9_6126-hlcpwy.pxatu.jpg;4
;0501704F;78086000300026;Collège;Collège Notre-Dame de la Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;4 place Croix des Perrières;50300;Avranches;50025;;02 33 58 43 41;;Manche;Caen;Normandie;28;-1,3559454;48,6859497;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1638;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiAhamr5r7bAhVCblAKHSMIBdIQjRx6BAgBEAU&url=https%3A%2F%2Ffrance3-regions.francetvinfo.fr%2Fnormandie%2F2013%2F10%2F20%2Favranches-notre-dame-la-providence-fete-ses-100-ans-342249.html&psig=AOvVaw3uT7yNO3gWyuz7IAF5VcJS&ust=1528366119147545;http://s1.lprs1.fr/images/2016/09/27/6155097_4bfc666c-84cd-11e6-9e94-7df8fe484178-1_1000x625.jpg;https://static.actu.fr/uploads/2016/08/25444-160830193708839-01.jpg;https://s2-ssl.dmcdn.net/T6zXi/x720--UR.jpg;4
;0880100F;78347431500034;Collège;Collège Notre-Dame de la Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;14 rue Pasteur;88109;Saint-Dié-des-Vosges;88413;Cedex;03 29 56 17 77;;Vosges;Nancy-Metz;Grand-Est;44;6,9504263;48,2826196;;;;www.onisep.fr/http/redirection/etablissement/identifiant/4533;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjWy5rz577bAhUHElAKHUJRCnUQjRx6BAgBEAU&url=https%3A%2F%2Fwww.enseignement-prive.info%2Fetablissement%2Fecole-privee-notre-dame-de-la-providence-ensemble-scolaire-marie-de-galilee-saint-die-des-vosges%2FET088-35&psig=AOvVaw3H5hZnMiheQ6Fmz0mJbOnp&ust=1528366600116435;http://resize1-parismatch.ladmedia.fr/r/625,417,center-middle,ffffff/img/var/news/storage/images/paris-match/brouillons/agressee-sexuellement-et-exclue-de-son-college-521905/4729519-1-fre-FR/Agressee-sexuellement-et-exclue-de-son-college.jpg;https://www.ndpo.fr/cache/fichs_declinaison/14279_2.jpg;https://image.jimcdn.com/app/cms/image/transf/dimension=279x10000:format=jpg/path/s840f81ee3edb5fcd/image/icd65ef6c96d14ed6/version/1444596256/image.jpg;3
;0761731U;78102741200035;Collège;Collège privé la Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;29 rue de l'Inondation;76400;Fécamp;76259;;02 35 10 42 05;;Seine-Maritime;Rouen;Normandie;28;0,3809764;49,7567073;;;;www.onisep.fr/http/redirection/etablissement/identifiant/4807;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjupY-w6L7bAhXMblAKHW-TAdYQjRx6BAgBEAU&url=http%3A%2F%2Fwww.laprovidencefecamp.org%2Flycee.php&psig=AOvVaw1bjCpdYOkCjeC7edWOFBzC&ust=1528366829609908;https://www.enseignement-prive.info/jouve/jpg_photos_fiche/GE086-13_2016_PF.jpg;https://www.ouest-france.fr/sites/default/files/styles/image-640x360/public/2015/09/03/college-la-providence-se-veut-accessible.jpg?itok=59tTx-Vu;http://www.ecole-privee-normandie.fr/wp-content/uploads/ECOLE_01.jpg;4
;0801212H;78060963200028;Collège;Collège La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;146 boulevard de Saint-Quentin;80094;Amiens;80021;Cedex 03;03 22 33 77 77;;Somme;Amiens;Hauts-de-France;32;2,2994172;49,8791473;;;;www.onisep.fr/http/redirection/etablissement/identifiant/5685;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=2ahUKEwiEouqO6b7bAhXSLVAKHbGWCegQjRx6BAgBEAU&url=http%3A%2F%2Fwww.ignace-education.fr%2FLa-Providence-Amiens&psig=AOvVaw3qY9a1ROBkeLzQC6qPABpH&ust=1528367052905074;https://www.enseignement-prive.info/jouve/jpg_photos_fiche/ET045-39_2016_PF.jpg;https://static.actu.fr/uploads/2015/09/LP-Rostand1.jpg;http://www.ecole-privee-normandie.fr/wp-content/uploads/classe-college-providence1.jpg;5
;0801742J;78060963200010;Lycée;Lycée La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;146 boulevard de Saint-Quentin;80094;Amiens;80021;Cedex 03;03 22 33 77 77;;Somme;Amiens;Hauts-de-France;32;2,2994172;49,8791473;03/02/2018;03/02/2018;de 10h à 16h, le 26/05/2018 de 9h à 13h;www.onisep.fr/http/redirection/etablissement/identifiant/5502;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi_hpeV677bAhVHGsAKHTLPA_QQjRx6BAgBEAU&url=http%3A%2F%2Fwww.ignace-education.fr%2FLa-Providence-Amiens&psig=AOvVaw2Nxu3FVlxonYcwOrPwlgKp&ust=1528367105776479;https://upload.wikimedia.org/wikipedia/commons/5/5f/Amiens%2C_lyc%C3%A9e_La_Providence_%28%C3%A9cole_et_lyc%C3%A9e%29_%2803%29_b%C3%A2timent_central.jpg;http://lvdneng.rosselcdn.net/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2017/07/13/node_191645/29779631/public/2017/07/13/B9712604955Z.1_20170713173535_000%2BG5C9E7LJH.1-0.jpg?itok=POqOBjrl;http://s1.lprs1.fr/images/2017/04/28/6898068_b585ed5e1c594628cfc54a855ab934224e0f556d_1000x625.jpg;5
;0061852F;;Lycée;Lycée La Providence;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;12 avenue Pierre Isnard;6200;Nice;06088;;04 93 72 40 90;;Alpes-Maritimes;Nice;Provence-Alpes-Côte d'Azur;93;7,1992777;43,6812872;03/02/2018;03/02/2018;et 7 avril 2018 de 9h à 13h pour les collégiens et leurs parents pour orientation 2de Générale, BAC ST2S, Classe prépa Concours santé social. 3e Prépa, CAP, BAC PRO Accompagnement, soins et services à la personne;www.onisep.fr/http/redirection/etablissement/identifiant/9000;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi-363m7L7bAhXHNcAKHd1cAHgQjRx6BAgBEAU&url=http%3A%2F%2Fbabet.sarl.free.fr%2Frealisations.htm&psig=AOvVaw0YnUO1DJTj4yYHD662LKaf&ust=1528368009188764;http://babet.sarl.free.fr/images/laprovidence.jpg;http://paul-eluard-beuvrages.savoirsnumeriques5962.fr/lectureFichiergw.do?ID_FICHIER=1055;http://orientation.blog.lemonde.fr/files/2018/01/Classespre%CC%81passcientifiques_UPS_1.jpg;4
;0753146M;32255780200020;Lycée;Prépasup;PREPASUP;Privé hors contrat;;;;38 rue des blancs manteaux;75004;Paris;75104;;01 42 77 27 26;04;Paris;Paris;Ile-de-France;11;2,358177;48,858184;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21641;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiW0va57b7bAhWrJsAKHVMqAUAQjRx6BAgBEAU&url=https%3A%2F%2Fwww.ipesup.fr%2F&psig=AOvVaw2ddRzhRnO-hxUrpih26inr&ust=1528368220190406;http://www.dbxconseil.fr/images/actu/1395136494-16estrapadeweb.jpg;https://static.actu.fr/uploads/2016/05/Houlme-directeur1.jpg;http://www.onisep.fr/var/onisep/storage/images/media/images/choisir-mes-etudes/apres-le-bac/les-filieres-d-etudes/classes-prepas/classe-prepa2/11222631-2-fre-FR/Classe-prepa2.jpg;5
;0133148B;40929336200011;Lycée;International Bilingual School of Provence;IBS of Provence;Privé hors contrat;;;;500  route de Bouc-Bel-Air;13080;Aix-en-Provence;13001;;04 42 24 03 40;;Bouches-du-Rhône;Aix-Marseille;Provence-Alpes-Côte d'Azur;93;5,412763;43,4803835;;;;www.onisep.fr/http/redirection/etablissement/identifiant/12647;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjHxZ2o7r7bAhWJLMAKHeV_BDQQjRx6BAgBEAU&url=https%3A%2F%2Fwww.enseignement-prive.info%2Fetablissement%2Fibs-of-provence-aix-en-provence%2FET013-216&psig=AOvVaw2Ve7bO7Q4QlzuhodS-gFnf&ust=1528368334189224;http://www.ibsofprovence.com/wp-content/uploads/2014/07/slide-admissions-06.jpg;https://cdn-s-www.leprogres.fr/images/9F024862-6BE6-4D70-90E7-A21B09CD6357/LPR_v1_02/philippe-boyer-est-nomme-principal-de-college-dans-le-var-photo-christiane-lorenzi-1479278308.jpg;https://www.francetvinfo.fr/image/759r5hf8p-19a6/580/326/10470491.jpg;5
;0783549J;19782554000010;Lycée;Lycée international;;Public;Ministère chargé de l'Éducation nationale;;BP 70107;2 bis rue du Fer à Cheval;78101;Saint-Germain-en-Laye;78551;Cedex;01 39 10 94 11;;Yvelines;Versailles;Ile-de-France;11;2,062848;48,897902;;;;www.onisep.fr/http/redirection/etablissement/identifiant/3921;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwikrunP7r7bAhWJfMAKHdRWDtsQjRx6BAgBEAU&url=https%3A%2F%2Fwww.lesechos.fr%2F05%2F10%2F2016%2FLesEchos%2F22291-357-ECH_la-mue-du-lycee-international-de-saint-germain.htm&psig=AOvVaw2f-Jmx-EQg4EgfMw59Ah2H&ust=1528368526660989;https://images.lesechos.fr/archives/2016/LesEchos/22291/ECH22291357_1.jpg;http://www.courrierdelouest.fr/sites/courrierdelouest.fr/files/imagecache/detail/2015/08/24/0-21163-150824175959186-2-425800.jpg;http://www.lepoint.fr/images/2016/08/29/5043063lpw-5043066-article-illustration-jpg_3747492_660x281.jpg;5
;0783547G;19783363500018;Collège;Collège international;;Public;Ministère chargé de l'Éducation nationale;;BP 5230;Rue du fer à cheval;78100;Saint-Germain-en-Laye;78551;;01 39 10 94 11;;Yvelines;Versailles;Ile-de-France;11;2,062848;48,897902;;;;www.onisep.fr/http/redirection/etablissement/identifiant/21234;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwikrunP7r7bAhWJfMAKHdRWDtsQjRx6BAgBEAU&url=https%3A%2F%2Fwww.lesechos.fr%2F05%2F10%2F2016%2FLesEchos%2F22291-357-ECH_la-mue-du-lycee-international-de-saint-germain.htm&psig=AOvVaw2f-Jmx-EQg4EgfMw59Ah2H&ust=1528368526660989;https://www.letudiant.fr/static/uploads/mediatheque/ETU_ETU/0/3/483203-rea-98314-030-866x495.jpg;https://static.actu.fr/uploads/2016/09/TDC-college-1-OK1.jpg;https://www.superprof.fr/blog/file/2016/01/programme-des-cours-de-francais-1024x680.jpeg;5
;0130038W;19130038300012;Lycée;Lycée Marseilleveyre;;Public;Ministère chargé de l'Éducation nationale;;;83 Traverse Parangon;13285;Marseille;13208;Cedex 08;04 91 17 67 00;08;Bouches-du-Rhône;Aix-Marseille;Provence-Alpes-Côte d'Azur;93;5,3791456;43,2416532;;;;www.onisep.fr/http/redirection/etablissement/identifiant/16361;https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwin6r-B777bAhXqK8AKHaKZAywQjRx6BAgBEAU&url=http%3A%2F%2Fwww.lyc-marseilleveyre.ac-aix-marseille.fr%2Fspip%2F&psig=AOvVaw3688ePW-EIdWCrpF7AbO3H&ust=1528368613185381;http://www.lyc-marseilleveyre.ac-aix-marseille.fr/plan/Photo/Bat6.jpg;https://www.citescolairedenerac.fr/s/cc_images/teaserbox_43630383.jpg?t=1479837188;https://cdn.static01.nicematin.com/media/npo/mobile_1440w/2016/02/college.jpg;4
