;ACADÉMIE;SECTION BI- ET INTERNATIONALE;1ère SESSION A VENIR;Niveau;U.A.I.;ÉTABLISSEMENT;COMMUNE;;
1;Aix-Marseille;ESABAC (italien);;Lycée;0840935K;Lycée René Char;Avignon;;
2;Aix-Marseille;ESABAC (italien);;Lycée;0840026X;Lycée de l'Arc;Orange;;
3;Aix-Marseille;ESABAC (italien);;Lycée;0130037V;Lycée Marcel Pagnol;Marseille;;
4;Aix-Marseille;ESABAC (italien);;Lycée;0040003G;Lycée André Honnorat;Barcelonnette;;
5;Aix-Marseille;ESABAC (italien);;Lycée;0040023D;Lycée Paul Arène;Sisteron;;
6;Aix-Marseille;ESABAC (italien);;Lycée;0050004C;Lycée Honoré Romane;Embrun;;
7;Aix-Marseille;ESABAC (italien);2018;Lycée;0840017M;Lycée Ismaël Dauphin;Cavaillon;;
8;Aix-Marseille;ESABAC (italien);2018;Lycée;0130002G;Lycée Paul Cézanne;Aix-en-Provence;;
9;Amiens;ESABAC (italien);2019;Lycée;0800010B;Lycée Madeleine Michelis;Amiens;;
10;Amiens;ESABAC (italien);2020;Lycée;0600013N;Lycée Cassini;Clermont;;
11;Bordeaux;ESABAC (italien);Dernière session 2017;Lycée;0330026Z;Lycée François Magendie;Bordeaux;;
12;Bordeaux;ESABAC (italien);2018;Lycée;0330126H;Lycée Victor Louis;Talence;;
13;Caen;ESABAC (italien);;Lycée;0140014P;Lycée Augustin Fresnel;Caen;;
14;Corse;ESABAC (italien);;Lycée;6200002H;Lycée Laetitia Bonaparte;Ajaccio;;
15;Créteil;ESABAC (italien);;Lycée;0932121A;Lycée Suger;Saint-Denis;;
16;Dijon;ESABAC (italien);2020;Lycée;0710045N;Lycée Lamartine;Mâcon;;
17;Grenoble;ESABAC (italien);;Lycée;0383242T;Lycée international Europole;Grenoble;;
18;Grenoble;ESABAC (italien);;Lycée;0380032D;Lycée Emmanuel Mounier;Grenoble;;
19;Grenoble;ESABAC (italien);;Lycée;0380089R;Lycée Portes de l'Oisans;Vizille;;
20;Grenoble;ESABAC (italien);;Lycée;0381599G;Lycée de l'Édit;Roussillon;;
21;Grenoble;ESABAC (italien);;Lycée;0730037U;Lycée Paul Héroult;Saint-Jean-de-Maurienne;;
22;Grenoble;ESABAC (italien);;Lycée;0731392S;Lycée du Granier;La Ravoire;;
23;Grenoble;ESABAC (italien);;Lycée;0740017S;Lycée Charles Poncet;Cluses;;
24;Grenoble;ESABAC (italien);;Lycée;0741418P;Lycée Charles Baudelaire;Cran Gevrier;;
25;Grenoble;ESABAC (italien);;Lycée;0741476C;Lycée Jean Monnet;Annemasse;;
26;Grenoble;ESABAC (italien);;Lycée;0740027C;Lycée du Mont Blanc;Passy;;
27;Grenoble;ESABAC (italien);2018;Lycée;0382838D;Lycée La Pléiade;Pont-de-Chéruy;;
28;Grenoble;ESABAC (italien);2019;Lycée;0380034F;Lycée polyvalent Louise Michel;Grenoble;;
29;Lille;ESABAC (italien);;Lycée;0590063Y;Lycée Albert Châtelet;Douai;;
30;Lille;ESABAC (italien);;Lycée;0590086Y;Lycée Marguerite de Flandre;Gondecourt;;
31;Lyon;ESABAC (italien);;Lycée;0011276G;Lycée du Val de Saône;Trévoux;;
32;Lyon;ESABAC (italien);;Lycée;0690082P;Lycée Jean Perrin;Lyon;;
33;Lyon;ESABAC (italien);;Lycée;0690085T;Lycée René Cassin;Tarare;;
34;Lyon;ESABAC (italien);;Lycée;0010010F;Lycée du Bugey;Belley;;
35;Lyon;ESABAC (italien);2019;Lycée;0420033H;Lycée Albert Thomas;Roanne;;
36;Montpellier;ESABAC (italien);;Lycée;0340040J;Lycée Jules Guesde;Montpellier;;
37;Nancy-Metz;ESABAC (italien);;Lycée;0540030P;Lycée Alfred Mézières;Longwy;;
38;Nancy-Metz;ESABAC (italien);;Lycée;0540040A;Lycée Frédéric Chopin;Nancy;;
39;Nantes;ESABAC (italien);;Lycée;0490001K;Lycée David d'Angers;Angers;;
40;Nantes;ESABAC (italien);;Lycée;0440288Z;Lycée Albert Camus;Nantes;;
41;Nantes;ESABAC (italien);2017;Lycée;0720030S;Lycée Bellevue;Le Mans;;
42;Nice;ESABAC (italien);;Lycée;0060026W;Lycée Pierre et Marie Curie;Menton;;
43;Nice;ESABAC (italien);;Lycée;0061642C;Lycée international;Valbonne;;
44;Nice;ESABAC (italien);;Lycée;0830053G;Lycée Dumont d'Urville;Toulon;;
45;Nice;ESABAC (italien);;Lycée;0060029Z;Lycée du Parc impérial;Nice;;
46;Nice;ESABAC (italien);;Lycée;0060001U;Lycée Audiberti;Antibes;;
47;Nice;ESABAC (italien);2018;Lycée;0060033D;Lycée Honoré d'Estienne d'Orves;Nice;;
48;Nice;ESABAC (italien);2018;Lycée;0830050D;Lycée Beaussier;La Seyne-sur-Mer;;
49;Orléans-Tours;ESABAC (italien);2020;Lycée;0370037P;Lycée Choiseul;Tours;;
50;Paris;ESABAC (italien);;Lycée;0750648X;Lycée Victor Hugo;Paris;;
51;Paris;ESABAC (italien);;Lycée;0750683K;Lycée Claude Monet;Paris;;
52;Paris;ESABAC (italien);2019;Lycée;0750693W;Lycée Buffon;Paris;;
53;Poitiers;ESABAC (italien);;Lycée;0860034V;Lycée Victor Hugo;Poitiers;;
54;Rennes;ESABAC (italien);;Lycée;0290010D;Lycée de l'Harteloire;Brest;;
55;Rennes;ESABAC (italien);2020;Lycée;0350026N;Lycée Jean Macé;Rennes;;
56;Toulouse;ESABAC (italien);;Lycée;0310036W;Lycée Pierre de Fermat;Toulouse;;
57;Versailles;ESABAC (italien);;Lycée;0950650R;Lycée Jean-Jacques Rousseau;Sarcelles;;
58;Versailles;ESABAC (italien);;Lycée;0920132U;Lycée Albert Camus;Bois Colombes;;
59;Versailles;ESABAC (italien);2020;Lycée;0910727W;Lycée Parc de Vilgénis;Massy;;
60;Aix-Marseille;ABIBAC (allemand);;Lycée;0133525L;Lycée international Georges Duby;Luynes;;
61;Aix-Marseille;ABIBAC (allemand);;Lycée;0130039X;Lycée Saint-Charles;Marseille;;
62;Aix-Marseille;ABIBAC (allemand);Dernière session 2018;Lycée;0840005Z;Lycée Philippe de Girard;Avignon;;
63;Aix-Marseille;ABIBAC (allemand);;Lycée;0040543U;École internationale Provence-Alpes-Côte d'Azur;Manosque;;
64;Aix-Marseille;ABIBAC (allemand);2020;Lycée;0840017M;Lycée Ismaël Dauphin;Cavaillon;;
65;Amiens;ABIBAC (allemand);;Lycée;0801841S;Lycée Robert de Luzarches;Amiens;;
66;Amiens;ABIBAC (allemand);;Lycée;0600001A;Lycée Félix-Faure;Beauvais;;
67;Amiens;ABIBAC (allemand);2019;Lycée;0020012C;Lycée Jean de La Fontaine;Château-Thierry;;
68;Amiens;ABIBAC (allemand);2020;Lycée;0020048S;Lycée Henri Martin;Saint-Quentin;;
69;Besançon;ABIBAC (allemand);;Lycée;0900002N;Lycée Condorcet;Belfort;;
70;Besançon;ABIBAC (allemand);;Lycée;0251711Z;Lycée Claude Nicolas Ledoux;Besançon;;
71;Bordeaux;ABIBAC (allemand);;Lycée;0640055M;Lycée Louis Barthou;Pau;;
72;Bordeaux;ABIBAC (allemand);;Lycée;0332722E;Lycée Pape Clément;Pessac;;
73;Caen;ABIBAC (allemand);;Lycée;0141796B;Lycée Salvador Allende;Hérouville Saint-Clair;;
74;Clermont-Ferrand;ABIBAC (allemand);;Lycée;0630019D;Lycée Jeanne d'Arc;Clermont-Ferrand;;
75;Créteil;ABIBAC (allemand);;Lycée;0772127U;Lycée Galilée;Combs-la-Ville;;
76;Créteil;ABIBAC (allemand);;Lycée;0930830X;Lycée Albert Schweitzer;Le Raincy;;
77;Dijon;ABIBAC (allemand);;Lycée;0211928G;Lycée européen Charles de Gaulle;Dijon;;
78;Grenoble;ABIBAC (allemand);;Lycée;0383242T;Cité scolaire internationale Europole;Grenoble;;
79;Grenoble;ABIBAC (allemand);2017;Lycée;0381603L;Lycée André Argouges;Grenoble;;
80;La Réunion;ABIBAC (allemand);;Lycée;9740001H;Lycée Leconte de Lisle;Sainte-Clotilde;;
81;La Réunion;ABIBAC (allemand);;Lycée;9740002J;Lycée Roland-Garros;Le Tampon;;
82;Lille;ABIBAC (allemand);;Lycée;0590073J;Lycée Auguste Angellier;Dunkerque;;
83;Lille;ABIBAC (allemand);;Lycée;0590086Y;Lycée Marguerite de Flandre;Gondecourt;;
84;Lille;ABIBAC (allemand);;Lycée;0590119J;Lycée Faidherbe;Lille;;
85;Lille;ABIBAC (allemand);;Lycée;0620093P;Lycée Fernand Darchicourt;Hénin-Beaumont;;
86;Lille;ABIBAC (allemand);;Lycée;0590222W;Lycée Antoine Watteau;Valenciennes;;
87;Lille;ABIBAC (allemand);;Lycée;0590064Z;Lycée Jean-Baptiste Corot;Douai;;
88;Limoges;ABIBAC (allemand);2017;Lycée;0190032G;Lycée Edmond Perrier;Tulle;;
89;Lyon;ABIBAC (allemand);;Lycée;0693446W;Cité scolaire internationale;Lyon;;
90;Lyon;ABIBAC (allemand);;Lycée;0420042T;Lycée Honoré d'Urfé;Sainte-Étienne;;
91;Lyon;ABIBAC (allemand);2020;Lycée;0690082P;Lycée Jean Perrin;Lyon;;
92;Montpellier;ABIBAC (allemand);;Lycée;0340039H;Lycée Georges Clémenceau;Montpellier;;
93;Montpellier;ABIBAC (allemand);;Lycée;0300021K;Lycée Alphonse Daudet;Nimes;;
94;Montpellier;ABIBAC (allemand);2018;Lycée;0110022P;Lycée Docteur Lacroix;Narbonne;;
95;Nancy-Metz;ABIBAC (allemand);;Lycée;0570054Z;Lycée Fabert;Metz;;
96;Nancy-Metz;ABIBAC (allemand);;Lycée;0540039Z;Lycée Jeanne d'Arc;Nancy;;
97;Nancy-Metz;ABIBAC (allemand);;Lycée;0541318P;Lycée Notre-Dame / Saint-Sigisbert;Nancy;;
98;Nancy-Metz;ABIBAC (allemand);;Lycée;0570085H;Lycée Jean-Victor Poncelet;Saint-Avold;;
99;Nancy-Metz;ABIBAC (allemand);;Lycée;0570098X;Lycée Jean de Pange;Sarreguemines;;
100;Nancy-Metz;ABIBAC (allemand);;Lycée;0570106F;Lycée Charlemagne;Thionville;;
101;Nancy-Metz;ABIBAC (allemand);2019;Lycée;0880020U;Lycée Claude Gellée;Épinal;;
102;Nantes;ABIBAC (allemand);;Lycée;0720030S;Lycée Bellevue;Le Mans;;
103;Nantes;ABIBAC (allemand);;Lycée;0490002L;Lycée Joachim du Bellay;Angers;;
